Census Tract,FIPS,Area (Land),Area (Water),Total Population,Population Density (Per Sq. Mile),Area (Land),Area Total:,Area Total: Area (Land),Area Total: Area (Water),Total Population:,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Total Population,Total Population: Not Hispanic or Latino,Total Population: Not Hispanic or Latino: White Alone,Total Population: Not Hispanic or Latino: Black or African American Alone,Total Population: Not Hispanic or Latino: American Indian and Alaska Native Alone,Total Population: Not Hispanic or Latino: Asian Alone,Total Population: Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander Alone,Total Population: Not Hispanic or Latino: Some Other Race Alone,Total Population: Not Hispanic or Latino: Two or More Races,Total Population: Hispanic or Latino,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Owner Occupied Housing Units,"Owner Occupied Housing Units: White Alone, Not Hispanic or Latino Homeowners ",Owner Occupied Housing Units: Non-White Homeowners,Renter-Occupied Housing Units,Renter-Occupied Housing Units: White Alone Householder,Renter-Occupied Housing Units: Black or African American Alone Householder,Renter-Occupied Housing Units: American Indian and Alaska Native Alone Householder,Renter-Occupied Housing Units: Asian Alone Householder,Renter-Occupied Housing Units: Native Hawaiian and Other Pacific Islander Alone Householder,Renter-Occupied Housing Units: Some Other Race Alone Householder,Renter-Occupied Housing Units: Two or More Races Householder,"Renter-Occupied Housing Units: White Alone, Not Hispanic or Latino Householder",Renter-Occupied Housing Units: Hispanic or Latino Householder
101110,06037101110,1142401,0,4014,9100.317,0.441083511,0.4410835,0.4410835,0,4014,2426,161,8,390,0,397,632,4014,2932,2236,121,8,390,0,8,169,1082,1551,840,711,840,580,260,711,440,13,0,53,0,44,161,398,238
101122,06037101122,2644045,0,4164,4078.868,1.020871525,1.020872,1.020872,0,4164,2909,76,22,582,0,240,335,4164,3802,2882,76,0,582,0,12,250,362,1383,1039,344,1039,762,277,344,287,0,0,0,0,33,24,287,33
101220,06037101220,698886,0,3481,12900.17,0.269841405,0.2698414,0.2698414,0,3481,1904,0,87,433,0,469,588,3481,2018,1485,0,46,433,0,5,49,1463,1349,582,767,582,258,324,767,419,0,13,70,0,97,168,398,276
101221,06037101221,354178,0,3756,27466.4,0.136748896,0.1367489,0.1367489,0,3756,2181,101,35,314,0,711,414,3756,2552,1970,101,0,314,0,107,60,1204,1424,347,1077,347,230,117,1077,700,38,0,24,0,192,123,673,282
101222,06037101222,296512,0,2808,24527.46,0.114483928,0.1144839,0.1144839,0,2808,1525,15,74,138,37,45,974,2808,1513,1277,15,0,138,37,0,46,1295,928,31,897,31,0,31,897,658,15,14,28,12,11,159,579,263
101300,06037101300,2580478,0,4071,4086.003,0.996328168,0.9963282,0.9963282,0,4071,3218,66,0,210,0,174,403,4071,3463,2998,66,0,210,0,92,97,608,1425,1134,291,1134,891,243,291,214,0,0,0,0,32,45,201,68
101400,06037101400,6310056,0,3490,1432.485,2.436326346,2.436326,2.436326,0,3490,2169,59,0,391,0,304,567,3490,2609,2021,59,0,367,0,0,162,881,1287,955,332,955,642,313,332,293,0,0,29,0,0,10,280,13
102103,06037102103,1186489,0,1834,4003.44,0.458105984,0.458106,0.458106,0,1834,1512,23,0,242,0,12,45,1834,1746,1459,23,0,242,0,0,22,88,671,402,269,402,309,93,269,235,0,0,34,0,0,0,235,0
102104,06037102104,1658823,0,4033,6296.887,0.640475168,0.6404752,0.6404752,0,4033,2989,82,10,473,0,65,414,4033,3572,2729,82,10,473,0,0,278,461,1304,1029,275,1029,777,252,275,241,11,0,23,0,0,0,224,17
102105,06037102105,492761,0,1610,8462.278,0.190256094,0.1902561,0.1902561,0,1610,508,9,19,107,6,421,540,1610,523,324,9,19,107,6,0,58,1087,557,325,232,325,98,227,232,67,0,0,23,0,58,84,28,128
